time,CPU_Consumption,category,pid,mainThreadIndex,itération
4183.266909,119052463,power,73894,0,2
4183.823378,114796957,power,75817,0,4
4184.490527,116628011,power,71855,0,0
4185.86291,105862087,power,87606,0,16
4186.778942,114712185,power,77791,0,6
4187.0561,118509928,power,79733,0,8
4187.596036,116543240,power,83662,0,12
4189.825029,116017659,power,81735,0,10
4191.766914,118086073,power,89599,0,18
4193.036958,116373698,power,85659,0,14
4193.259129,120697022,power,73894,0,2
4194.058791,126580132,power,75817,0,4
4195.212571,118001302,power,71855,0,0
4195.860591,118865967,power,87606,0,16
4196.743261,118187799,power,77791,0,6
4197.057441,118357341,power,79733,0,8
4197.597817,116255019,power,83662,0,12
4199.825535,114423964,power,81735,0,10
4201.308594,118560791,power,89599,0,18
4203.037372,113389757,power,85659,0,14
4203.258455,118153890,power,73894,0,2
4203.802268,102572971,power,75817,0,4
4204.492005,114695231,power,71855,0,0
4205.863272,116458469,power,87606,0,16
4206.717888,114508734,power,77791,0,6
4207.055515,117696126,power,79733,0,8
4207.613541,116661919,power,83662,0,12
4209.822152,117526584,power,81735,0,10
4211.979436,116119385,power,89599,0,18
4213.036942,116865370,power,85659,0,14
4213.256936,116577148,power,73894,0,2
4213.830176,116814507,power,75817,0,4
4215.015747,116492377,power,71855,0,0
4215.859292,117899577,power,87606,0,16
4216.945444,114542644,power,77791,0,6
4217.059306,112898085,power,79733,0,8
4217.594264,111863878,power,83662,0,12
4219.834125,112287734,power,81735,0,10
4223.03785,117967394,power,85659,0,14
4223.2583,118984646,power,73894,0,2
4223.314376,140838623,power,89599,0,18
4223.822751,117238363,power,75817,0,4
4224.496994,113949246,power,71855,0,0
4225.861326,117713080,power,87606,0,16
4226.716923,115831163,power,77791,0,6
4227.057398,113220215,power,79733,0,8
4227.594766,111779107,power,83662,0,12
4229.824115,113372802,power,81735,0,10
4231.308953,94807943,power,89599,0,18
4233.03764,117153592,power,85659,0,14
4233.25755,115763347,power,73894,0,2
4233.805734,116678874,power,75817,0,4
4234.491062,114356147,power,71855,0,0
4235.951891,117340088,power,87606,0,16
4236.718122,118408203,power,77791,0,6
4237.061564,113118489,power,79733,0,8
4237.600597,103030735,power,83662,0,12
4239.825979,117458768,power,81735,0,10
4241.339054,117763943,power,89599,0,18
4243.036614,116390652,power,85659,0,14
4243.263589,117662217,power,73894,0,2
4243.830341,115729438,power,75817,0,4
4244.488542,117255317,power,71855,0,0
4245.858173,119120280,power,87606,0,16
4246.729585,116102430,power,77791,0,6
4247.088748,114339193,power,79733,0,8
4247.597678,117441813,power,83662,0,12
4249.822558,114593505,power,81735,0,10
4251.306547,117153592,power,89599,0,18
4253.036466,117543538,power,85659,0,14
4253.257957,117238363,power,73894,0,2
4253.824775,118255615,power,75817,0,4
4254.491285,117390950,power,71855,0,0
4256.561793,130038791,power,87606,0,16
4256.716694,113898384,power,77791,0,6
4257.058114,116746690,power,79733,0,8
4257.593684,117780897,power,83662,0,12
4259.885758,114796957,power,81735,0,10
4261.308138,117797851,power,89599,0,18
4263.037298,117797852,power,85659,0,14
4263.258654,114627414,power,73894,0,2
4263.805786,117340088,power,75817,0,4
4264.494814,117611356,power,71855,0,0
4265.860691,105506050,power,87606,0,16
4266.837464,120239258,power,77791,0,6
4267.058302,118459066,power,79733,0,8
4267.596313,118882921,power,83662,0,12
4269.826476,118645562,power,81735,0,10
4271.343108,120934381,power,89599,0,18
4273.035063,118221706,power,85659,0,14
4273.25822,118459066,power,73894,0,2
4273.831223,114491780,power,75817,0,4
4274.549128,120103624,power,71855,0,0
4275.861272,112898085,power,87606,0,16
4276.717032,116814507,power,77791,0,6
4277.06287,114067926,power,79733,0,8
4277.59349,116288927,power,83662,0,12
4279.825399,116322835,power,81735,0,10
4281.306037,104844835,power,89599,0,18
4283.043524,115458171,power,85659,0,14
4283.257874,117323134,power,73894,0,2
4283.825902,120069716,power,75817,0,4
4284.489124,106082492,power,71855,0,0
4285.860111,118764241,power,87606,0,16
4286.716854,112287733,power,77791,0,6
4287.059665,119442410,power,79733,0,8
4287.5951,114881728,power,83662,0,12
4289.829792,117373997,power,81735,0,10
4291.310728,114864773,power,89599,0,18
4293.037136,113813612,power,85659,0,14
4293.264108,118509928,power,73894,0,2
4293.827361,117187500,power,75817,0,4
4294.48745,116746691,power,71855,0,0
4295.857878,117831760,power,87606,0,16
4296.719727,120663113,power,77791,0,6
4297.06001,117187500,power,79733,0,8
4297.594166,113728841,power,83662,0,12
4299.825167,116577148,power,81735,0,10
4301.309465,113813612,power,89599,0,18
4303.03754,117526584,power,85659,0,14
4303.259343,120222304,power,73894,0,2
4303.798873,116085476,power,75817,0,4
4304.487156,116695828,power,71855,0,0
4306.056468,114305284,power,87606,0,16
4306.756704,118747288,power,77791,0,6
4307.055949,115509033,power,79733,0,8
4307.595531,117662218,power,83662,0,12
4309.829207,118425157,power,81735,0,10
4311.330211,115220812,power,89599,0,18
4313.039445,114491781,power,85659,0,14
4313.305413,117357042,power,73894,0,2
4313.830913,116950141,power,75817,0,4
4314.489096,116577148,power,71855,0,0
4315.860044,114440918,power,87606,0,16
4316.71636,114813910,power,77791,0,6
4317.066617,119832356,power,79733,0,8
4317.593169,116763644,power,83662,0,12
4319.823248,116407607,power,81735,0,10
4321.308323,115542941,power,89599,0,18
4323.037317,113406711,power,85659,0,14
4323.259064,117679172,power,73894,0,2
4323.824569,117746989,power,75817,0,4
4325.861265,114695231,power,87606,0,16
4326.716967,119408502,power,77791,0,6
4327.060255,105353462,power,79733,0,8
4327.593681,117814806,power,83662,0,12
4327.913331,164116753,power,71855,0,0
4329.876193,116577148,power,81735,0,10
4331.430569,129818387,power,89599,0,18
4333.038659,115458171,power,85659,0,14
4333.257077,115288628,power,73894,0,2
4333.8152,117492676,power,75817,0,4
4334.491267,69224040,power,71855,0,0
4335.857048,115576851,power,87606,0,16
4336.716175,117780897,power,77791,0,6
4337.184652,128258599,power,79733,0,8
4337.592337,119764540,power,83662,0,12
4339.823134,118849013,power,81735,0,10
4341.311297,105556912,power,89599,0,18
4343.036788,113288031,power,85659,0,14
4343.336571,112186009,power,73894,0,2
4343.827108,116594103,power,75817,0,4
4344.490685,117458768,power,71855,0,0
4345.859452,113169352,power,87606,0,16
4346.71675,120290121,power,77791,0,6
4347.05919,107896593,power,79733,0,8
4347.595095,117357042,power,83662,0,12
4349.824807,117340088,power,81735,0,10
4351.307517,114712185,power,89599,0,18
4353.037184,117001004,power,85659,0,14
4353.282066,116221110,power,73894,0,2
4353.828943,118645562,power,75817,0,4
4354.489953,114983452,power,71855,0,0
4356.095513,116475423,power,87606,0,16
4356.715032,118204752,power,77791,0,6
4357.126457,129004584,power,79733,0,8
4357.592706,115017361,power,83662,0,12
4359.869943,117255316,power,81735,0,10
4361.307085,116729736,power,89599,0,18
4363.04004,116661920,power,85659,0,14
4363.255951,105370415,power,73894,0,2
4363.825586,117746989,power,75817,0,4
4364.489115,116153293,power,71855,0,0
4365.856931,114390055,power,87606,0,16
4366.735444,119137234,power,77791,0,6
4367.059237,106082493,power,79733,0,8
4367.592951,115746392,power,83662,0,12
4369.827256,107031929,power,81735,0,10
4371.308734,117679172,power,89599,0,18
4373.03835,118323432,power,85659,0,14
4373.25559,119205051,power,73894,0,2
4374.037461,116678873,power,75817,0,4
4374.489319,118611654,power,71855,0,0
4375.855901,113372803,power,87606,0,16
4376.793259,118187799,power,77791,0,6
4377.056058,117001003,power,79733,0,8
4377.593283,117899577,power,83662,0,12
4379.847909,117272271,power,81735,0,10
4381.306931,117679173,power,89599,0,18
4383.038357,118136935,power,85659,0,14
4383.258253,118357341,power,73894,0,2
4383.82606,118645562,power,75817,0,4
4384.488321,117221409,power,71855,0,0
4385.855877,115441216,power,87606,0,16
4386.716294,118238661,power,77791,0,6
4387.058903,118543837,power,79733,0,8
4387.594256,114017063,power,83662,0,12
4389.822988,119662814,power,81735,0,10
4391.308269,119137234,power,89599,0,18
4393.035786,116882325,power,85659,0,14
4393.255916,118255615,power,73894,0,2
4393.826294,117780898,power,75817,0,4
4394.487411,117950439,power,71855,0,0
4395.855884,116492378,power,87606,0,16
4396.717619,118594699,power,77791,0,6
4397.061063,118272570,power,79733,0,8
4397.595907,113745795,power,83662,0,12
4399.826377,118696425,power,81735,0,10
4401.309086,116763644,power,89599,0,18
4403.038254,106777615,power,85659,0,14
4403.255987,118594699,power,73894,0,2
4403.885778,117763943,power,75817,0,4
4404.487385,118238661,power,71855,0,0
4405.862003,119883219,power,87606,0,16
4406.716982,119069417,power,77791,0,6
4407.056775,116492377,power,79733,0,8
4407.596427,117340088,power,83662,0,12
4409.821291,119154188,power,81735,0,10
4411.308169,118849013,power,89599,0,18
4413.037087,117102729,power,85659,0,14
4413.254525,118967692,power,73894,0,2
4413.824392,117340088,power,75817,0,4
4414.487399,117390951,power,71855,0,0
4415.860071,120035807,power,87606,0,16
4416.714713,117475722,power,77791,0,6
4417.060229,118730333,power,79733,0,8
4417.593101,118035211,power,83662,0,12
4419.827947,117526585,power,81735,0,10
4421.322229,118849013,power,89599,0,18
4423.037297,116238064,power,85659,0,14
4423.257837,117746989,power,73894,0,2
4423.82469,118696425,power,75817,0,4
4424.487395,116882324,power,71855,0,0
4425.856457,118781196,power,87606,0,16
4426.932748,118730333,power,77791,0,6
4427.057639,118035211,power,79733,0,8
4427.592453,114474826,power,83662,0,12
4429.82818,119628906,power,81735,0,10
4431.311967,120103624,power,89599,0,18
4433.038034,119645860,power,85659,0,14
4433.254637,117865669,power,73894,0,2
4433.79803,116865370,power,75817,0,4
