time,DRAM_Consumption,category,pid,mainThreadIndex,itération
18093.844665,6137424,power,75817,0,4
18094.242507,7175869,power,71855,0,0
18095.357321,6561279,power,77791,0,6
18095.864483,7582771,power,87606,0,16
18097.568051,11126201,power,83662,0,12
18097.700255,6946988,power,79733,0,8
18099.8231,7345411,power,81735,0,10
18101.307195,8070204,power,89599,0,18
18103.039242,6616380,power,85659,0,14
18103.261436,6328159,power,73894,0,2
18103.841082,5798340,power,75817,0,4
18104.227163,7256402,power,71855,0,0
18105.38905,5268521,power,77791,0,6
18105.87029,6832547,power,87606,0,16
18107.076483,6336636,power,79733,0,8
18109.826571,5433825,power,81735,0,10
18111.307533,7722643,power,89599,0,18
18113.181852,6273058,power,85659,0,14
18113.262177,5705091,power,73894,0,2
18113.824644,6493462,power,75817,0,4
18114.242621,6561279,power,71855,0,0
18115.365061,4887051,power,77791,0,6
18116.043369,7701449,power,87606,0,16
18117.05835,6527371,power,79733,0,8
18119.824573,6946987,power,81735,0,10
18120.642611,10219150,power,83662,0,12
18121.308279,8036295,power,89599,0,18
18123.038804,6561279,power,85659,0,14
18123.278558,6239150,power,73894,0,2
18124.226869,6116232,power,71855,0,0
18124.732687,6154379,power,75817,0,4
18125.357551,5069309,power,77791,0,6
18125.872151,7408990,power,87606,0,16
18127.058884,6332397,power,79733,0,8
18129.876601,6938511,power,81735,0,10
18130.642133,6921556,power,83662,0,12
18131.31599,7866754,power,89599,0,18
18133.055712,6285774,power,85659,0,14
18133.256533,5565219,power,73894,0,2
18133.826775,5794101,power,75817,0,4
18134.224398,3696018,power,71855,0,0
18135.340168,5544027,power,77791,0,6
18135.860214,6340875,power,87606,0,16
18137.055791,6802877,power,79733,0,8
18141.305532,7650587,power,89599,0,18
18141.994559,8332994,power,81735,0,10
18142.597007,7442898,power,83662,0,12
18143.059725,6417168,power,85659,0,14
18143.277088,5357530,power,73894,0,2
18143.826014,7396274,power,75817,0,4
18144.23005,3115336,power,71855,0,0
18145.364161,5115933,power,77791,0,6
18145.827799,5035400,power,87606,0,16
18147.08146,5671183,power,79733,0,8
18149.826493,5471971,power,81735,0,10
18151.309291,7887946,power,89599,0,18
18151.549875,10346307,power,83662,0,12
18153.063399,6768968,power,85659,0,14
18153.25635,5476210,power,73894,0,2
18153.825948,6552802,power,75817,0,4
18154.265676,5518595,power,71855,0,0
18155.356825,4187689,power,77791,0,6
18155.860222,6391737,power,87606,0,16
18157.056529,6938511,power,79733,0,8
18159.826009,6442600,power,81735,0,10
18161.30881,7709927,power,89599,0,18
18163.061099,7065667,power,85659,0,14
18163.278465,5510119,power,73894,0,2
18164.071669,6773207,power,75817,0,4
18164.19148,5866157,power,71855,0,0
18165.359247,5374485,power,77791,0,6
18165.858402,6268820,power,87606,0,16
18167.067095,5696614,power,79733,0,8
18169.84399,6425646,power,81735,0,10
18171.133931,11054145,power,83662,0,12
18171.308245,7192824,power,89599,0,18
18173.062275,6451077,power,85659,0,14
18173.257193,5298190,power,73894,0,2
18173.827343,7519192,power,75817,0,4
18174.195585,6111992,power,71855,0,0
18175.347249,6188287,power,77791,0,6
18175.857154,5849202,power,87606,0,16
18177.059241,6014506,power,79733,0,8
18179.822136,7370843,power,81735,0,10
18180.875973,7324219,power,83662,0,12
18181.308011,7553100,power,89599,0,18
18183.062625,5844964,power,85659,0,14
18183.330965,4908244,power,73894,0,2
18183.87127,6540087,power,75817,0,4
18184.229964,6713868,power,71855,0,0
18185.362624,5938212,power,77791,0,6
18185.86145,5980598,power,87606,0,16
18187.059307,5857680,power,79733,0,8
18190.846231,6828308,power,83662,0,12
18191.307569,7900662,power,89599,0,18
18191.454295,6540086,power,81735,0,10
18193.072376,6052653,power,85659,0,14
18193.259447,6103516,power,73894,0,2
18193.826227,7404751,power,75817,0,4
18194.227459,7659064,power,71855,0,0
18195.354619,4662408,power,77791,0,6
18195.857991,6540086,power,87606,0,16
18197.059112,5828010,power,79733,0,8
18199.825768,6391737,power,81735,0,10
18200.735239,5556742,power,83662,0,12
18201.373582,7947286,power,89599,0,18
18203.229544,6552802,power,73894,0,2
18203.839014,7493761,power,75817,0,4
18203.860951,6133186,power,85659,0,14
18204.347854,7960002,power,71855,0,0
18205.319759,5942450,power,77791,0,6
18205.857026,6976658,power,87606,0,16
18207.609243,7328457,power,79733,0,8
18209.827036,6192526,power,81735,0,10
18210.690522,6201003,power,83662,0,12
18211.307481,8854337,power,89599,0,18
18213.040107,6794400,power,85659,0,14
18213.257439,6870693,power,73894,0,2
18213.827263,7205539,power,75817,0,4
18214.231153,6217956,power,71855,0,0
18215.319837,6298489,power,77791,0,6
18215.858108,5573696,power,87606,0,16
18217.279655,6582472,power,79733,0,8
18219.824309,6870693,power,81735,0,10
18220.678701,6802876,power,83662,0,12
18221.377115,7421705,power,89599,0,18
18223.063319,6455315,power,85659,0,14
18223.25961,7150439,power,73894,0,2
18223.827098,7158915,power,75817,0,4
18225.345104,6078085,power,77791,0,6
18226.107449,7527669,power,87606,0,16
18226.696215,9456211,power,71855,0,0
18227.055222,6175571,power,79733,0,8
18229.824298,6095039,power,81735,0,10
18230.676683,7442899,power,83662,0,12
18231.322111,7243686,power,89599,0,18
18233.059804,6442600,power,85659,0,14
18233.257958,5340576,power,73894,0,2
18233.838717,6620619,power,75817,0,4
18234.230312,5171034,power,71855,0,0
18235.353288,6713867,power,77791,0,6
18235.861081,6306967,power,87606,0,16
18237.055724,6192525,power,79733,0,8
18239.823174,6832546,power,81735,0,10
18240.676317,7854037,power,83662,0,12
18241.306122,7968479,power,89599,0,18
18243.060158,7328457,power,85659,0,14
18243.256649,5476210,power,73894,0,2
18243.882778,7269118,power,75817,0,4
18244.228359,7247925,power,71855,0,0
18245.344294,6540086,power,77791,0,6
18245.927852,6917317,power,87606,0,16
18247.058964,6379022,power,79733,0,8
18249.8222,6022984,power,81735,0,10
18250.676549,7595486,power,83662,0,12
18251.32062,8506775,power,89599,0,18
18253.182499,7951525,power,85659,0,14
18253.25883,5925496,power,73894,0,2
18253.843875,6900363,power,75817,0,4
18254.227534,7506476,power,71855,0,0
18255.34204,6018745,power,77791,0,6
18255.857001,7141961,power,87606,0,16
18257.186696,6891886,power,79733,0,8
18259.837513,6281534,power,81735,0,10
18260.68103,7023282,power,83662,0,12
18261.306596,7544623,power,89599,0,18
18263.061081,6616380,power,85659,0,14
18263.277802,6794400,power,73894,0,2
18263.839246,4662408,power,75817,0,4
18264.225756,6773207,power,71855,0,0
18265.425865,5357530,power,77791,0,6
18265.819354,7019043,power,87606,0,16
18267.057309,7061429,power,79733,0,8
18269.933648,6379022,power,81735,0,10
18271.309029,7620918,power,89599,0,18
18272.108371,9134081,power,83662,0,12
18273.041478,7023282,power,85659,0,14
18273.258083,5823771,power,73894,0,2
18273.793485,6052653,power,75817,0,4
18274.242989,6735060,power,71855,0,0
18275.34324,6383260,power,77791,0,6
18275.861733,7417467,power,87606,0,16
18277.057617,6451077,power,79733,0,8
18279.822957,5828010,power,81735,0,10
18280.735871,6582472,power,83662,0,12
18281.322192,7913377,power,89599,0,18
18283.075275,6824069,power,85659,0,14
18283.256815,4170736,power,73894,0,2
18283.827392,6773207,power,75817,0,4
18284.225318,7277595,power,71855,0,0
18285.357014,5289714,power,77791,0,6
18285.821431,7332696,power,87606,0,16
18287.055538,7065667,power,79733,0,8
18289.838806,7014804,power,81735,0,10
18290.71252,7027520,power,83662,0,12
18291.321755,7260641,power,89599,0,18
18293.06244,6824070,power,85659,0,14
18293.259947,6374783,power,73894,0,2
18293.824548,6773207,power,75817,0,4
18294.246318,5938212,power,71855,0,0
18295.358248,5840725,power,77791,0,6
18295.858537,7247925,power,87606,0,16
18297.057012,6455315,power,79733,0,8
18299.824682,6942749,power,81735,0,10
18300.676547,7955763,power,83662,0,12
18301.33271,6446838,power,89599,0,18
18303.060763,7277594,power,85659,0,14
18303.257868,6959703,power,73894,0,2
18303.823617,6349352,power,75817,0,4
18304.230486,6811354,power,71855,0,0
18305.472303,5967882,power,77791,0,6
18305.856972,7451375,power,87606,0,16
18307.120094,5107456,power,79733,0,8
18309.822888,7519192,power,81735,0,10
18310.681254,7731120,power,83662,0,12
18311.305999,6557041,power,89599,0,18
18313.059492,6951227,power,85659,0,14
18313.257314,7379320,power,73894,0,2
18314.248558,6561279,power,71855,0,0
18314.416651,6692674,power,75817,0,4
18315.343294,6658766,power,77791,0,6
18315.857382,6997850,power,87606,0,16
18317.057675,6866455,power,79733,0,8
18320.679132,7421705,power,83662,0,12
18321.326657,6658766,power,89599,0,18
18321.942074,8549161,power,81735,0,10
18323.027739,5709330,power,85659,0,14
18323.258567,6739298,power,73894,0,2
18323.82648,6073846,power,75817,0,4
18324.426763,6675720,power,71855,0,0
18325.356951,6739299,power,77791,0,6
18325.87181,6501940,power,87606,0,16
18327.059793,6658766,power,79733,0,8
18329.8223,5679660,power,81735,0,10
18330.67791,7790460,power,83662,0,12
18331.332402,6917318,power,89599,0,18
18333.054025,5149841,power,85659,0,14
18333.224113,5366008,power,73894,0,2
18334.069194,7035997,power,75817,0,4
18334.228004,7247925,power,71855,0,0
18335.344633,5493164,power,77791,0,6
18336.620301,7332696,power,87606,0,16
18337.054303,5645752,power,79733,0,8
18339.843778,6722344,power,81735,0,10
18340.679444,7396274,power,83662,0,12
18341.327141,5908542,power,89599,0,18
18343.041492,5031162,power,85659,0,14
18343.232811,6934272,power,73894,0,2
18343.825318,7578532,power,75817,0,4
18344.226613,6137424,power,71855,0,0
18345.345123,6968180,power,77791,0,6
18345.832601,5480448,power,87606,0,16
18347.055245,4853143,power,79733,0,8
18349.837602,6540087,power,81735,0,10
18350.679978,7353888,power,83662,0,12
18351.327841,6768968,power,89599,0,18
18353.097904,5768670,power,85659,0,14
18353.218458,6824069,power,73894,0,2
