time,DRAM,CPU,Iteration
3974.256526,7854038,123392741,3
3974.891918,6641812,118442112,17
3975.734397,5976359,112287733,11
3979.162182,5777147,116763644,15
3979.759406,6527371,120256212,5
3979.936599,6781684,112118191,13
3980.486454,5637275,103980170,1
3980.681324,5272759,118916829,9
3980.721092,5959405,115424263,7
3984.380814,6323920,101860894,3
3984.893953,6942749,118289523,17
3985.73462,6709629,112050374,11
3989.161615,5883111,114847819,15
3989.759598,6345113,118849013,5
3989.936483,6722345,114101834,13
3990.476287,5607605,116984050,1
3990.682306,6099277,117170546,9
3990.722051,6107754,113576253,7
3994.289144,6807115,115152995,3
3994.888978,6264581,119171143,17
3995.73477,6336636,112711589,11
3999.163404,5378723,115441217,15
3999.758733,5658468,118594699,5
3999.935958,5870395,112542046,13
4000.478107,5302429,117730034,1
4000.681018,5048116,119645860,9
4000.722055,5798340,115102132,7
4004.290207,5874634,114898681,3
4004.891769,6196764,113525390,17
4005.732909,6285773,112101237,11
4009.160824,6205241,116780599,15
4009.760163,6048414,119815403,5
4009.941558,6853739,113423665,13
4010.478792,5878873,117679172,1
4010.682225,5285475,117645264,9
4010.727108,6103515,114491781,7
4014.288144,6650289,112626818,3
4014.892358,5768670,117679173,17
4015.734721,5103217,116611057,11
4019.161978,7099576,118086073,15
4019.758128,6078084,118662516,5
4019.937113,6908841,115763347,13
4020.47852,5641513,118153890,1
4020.683089,5565220,118425158,9
4020.722469,5798340,113932291,7
4024.29007,6896125,113491482,3
4024.923398,6073845,114220513,17
4025.734188,5467733,103420681,11
4029.162301,6162855,115966797,15
4029.760023,5933974,119967991,5
4029.938712,6747775,118272569,13
4030.477648,5628798,117424859,1
4030.682092,5018446,119713677,9
4030.725502,6256104,114084880,7
4034.288424,6217957,115102132,3
4034.89342,6048415,115339491,17
4035.732671,5565219,116831462,11
4039.165255,6192525,114084879,15
4039.763343,6573995,119069417,5
4039.980987,6773207,117390951,13
4040.502042,5794101,116746691,1
4040.681715,5662706,105285644,9
4040.724196,6510416,115186903,7
4044.289514,6849500,115085178,3
4044.890547,5819532,116695828,17
